PDE Actual Peak Mem Usage, degree, level 1, level 2, level 3, level 4, level 5
, 2, 0.27632799999999996, 0.289824, 0.418352, 1.09632, 4.6137120000000005
, 3, 0.27632799999999996, 0.309184, 0.512704, 1.5704, 7.003248
, 4, 0.27632799999999996, 0.336192, 0.644656, 2.2339360000000004, 10.348224
, 5, 0.28388800000000003, 0.370896, 0.814272, 3.0869280000000003, 14.65648
, 6, 0.292736, 0.409456, 1.02152, 4.129424, 19.912176
PDE Workspace Usage, , , , , , 
, , , , , , 
, , , , , , 
, , , , , , 
, , , , , , 
, , , , , , 
